Symbol,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,Industry,DPS,DY
AEP,0.055082554,0.034420344,-0.075420352,-0.023098293,0.011022164,-0.000724298,-0.05898025,0.067962927,-0.031240559,0.047338355,-0.003693287,-0.001398127,0.040349994,0.046336089,0.021899868,0.075303634,-0.043674747,0.028208127,0.082805424,-0.011271205,-0.060499806,-0.00557537,0.00981155,-0.080720237,Utilities,2.36,3.87
AXP,0.006708525,-0.130186973,0.011153744,-0.039329467,-0.008576626,0.029309331,-0.021440231,-0.02135882,0.008677438,-0.033759181,-0.007995545,-0.022113038,-0.029173652,-0.22740256,0.038878484,0.104713914,0.070794345,0.005043603,-0.071382987,0.06089531,0.017375162,-0.023482797,0.0423835,0.084613116,Financials,1.28,1.77
AIG,0.024432897,-0.127477189,0.132187426,-0.007548669,0.027377262,0.041215129,0.056983399,0.037204825,-0.05895199,-0.053809666,0.109820547,0.00824607,-0.021005598,-0.088591254,-0.111189836,0.083413356,0.032747457,0.036904369,-0.081046601,0.029306161,0.09900808,-0.002780324,0.039770806,0.026418187,Financials,1.28,1.94
AMT,-0.055068566,-0.019221071,0.022589019,-0.050332909,0.00840828,-0.018406818,0.010157497,0.019509078,-0.030701299,-0.040790391,0.161968541,-0.027878358,-0.019322141,-0.026921053,-0.022683907,0.110303721,0.029519381,0.008581283,0.079337499,0.019012318,-0.02064434,0.00446629,0.034059825,-0.127314658,RealEstate,2.08,2.02
AWK,0.004712482,0.053283314,-0.031296756,0.002403772,0.005718553,-0.024010215,-0.080196624,0.067448029,0.007214558,0.06045441,0.041394312,0.012913325,0.03445296,0.08635986,0.003793884,0.063406413,0.055563555,0.023572312,0.140485975,-0.022837569,-0.099861857,0.011488115,-0.010689416,-0.015977286,Utilities,1.5,2.05
AMP,0.003642714,-0.055274095,0.074277996,-0.020878621,-0.03743604,-0.005507688,0.002728997,0.011270082,-0.103445511,-0.031419166,0.063230022,-0.020891198,-0.057813154,-0.148186399,-0.066006568,0.119833324,0.020104256,0.068622951,-0.116258502,0.066666649,0.063084125,-0.012960104,-0.114062335,0.303381632,Financials,3,2.53
ABC,-0.009774871,0.05423691,0.084299735,0.106169731,0.005542412,-0.012718265,-0.055259436,-0.005548162,-0.051359691,-0.050479856,0.01600175,0.025619784,0.051399081,-0.136438174,-0.029053855,-0.000808085,-0.016753409,-0.114914484,0.057882,0.074004037,0.024812108,-0.071173927,-0.129487555,0.114230025,HealthCare,1.46,1.85
AME,0.03459374,-0.089872675,0.109394514,-0.009581972,-0.002284033,0.02556271,0.020648901,-0.031580885,0.014514653,-0.026223927,0.047782908,0.029916027,-0.049322597,-0.122037724,-0.013602516,0.07892438,-0.037815175,-0.005614445,-0.031405131,0.017304708,0.036572474,-0.01805286,-0.077019729,0.073696162,Industrials,0.36,0.71
AMGN,-0.036416392,-0.044133363,0.041343844,0.013504937,-0.01213638,-0.005571123,-0.017534738,0.150273489,-0.136496717,-0.088680928,0.143579974,0.023615338,0.00763502,-0.059138841,-0.061943574,0.053767199,0.055826168,0.004357656,-0.036720551,0.130660594,-0.005704795,-0.019110916,-0.153767713,0.027509114,HealthCare,4,2.79
APH,0.005719454,-0.001858495,0.051200912,0.046011075,-0.060410645,0.030341328,0.018354034,-0.026910514,-0.071795785,-0.024109533,0.063971765,0.015307967,-0.04873972,-0.050928556,0.07060718,0.092263661,-0.034417063,0.051764265,-0.021387492,0.038199881,0.046875015,0.044211837,0.015557641,0.035340543,Industrials,0.64,0.93
APC,0.045896062,-0.009090833,0.030336392,-0.013599989,0.136336236,-0.111477197,-0.063386601,-0.047527545,-0.037256091,-0.153038773,0.107468089,-0.104365975,-0.185108641,-0.195347936,-0.029163491,0.228498149,0.132918164,-0.017058359,0.02780193,0.024037556,-0.019438831,0.18599004,-0.061868717,0.163358061,Energy,0.2,0.28
ADI,0.0229609,-0.061419293,0.13098207,0.076187167,-0.018412665,0.105580333,-0.055473755,-0.091291438,-0.034716174,0.009846024,0.065768523,0.025116425,-0.096515517,-0.026391879,-0.008057111,0.117003169,-0.04848791,0.046255106,-0.03179491,0.126942174,-0.01340179,0.030210929,-0.005430557,0.164754113,InformationTechnology,1.68,2.3
